article,disgust,anger,sadness,joy,fear
http://www.metrolyrics.com/it-aint-me-babe-lyrics-johnny-cash.html,0.078841,0.164511,0.314317,0.518089,0.02202
http://www.metrolyrics.com/miss-murder-lyrics-afi.html,0.496067,0.141264,0.684022,0.078548,0.103274
http://www.metrolyrics.com/grandmas-theme-lyrics-mellencamp-john-cougar.html,0.075497,0.317072,0.542381,0.012105,0.413032
http://www.metrolyrics.com/long-tall-sally-lyrics-little-richard.html,0.06207,0.06427,0.023648,0.827916,0.048957
http://www.metrolyrics.com/calling-all-angels-lyrics-jane-siberry.html,0.020764,0.104569,0.571061,0.203341,0.256523
http://www.metrolyrics.com/breakfast-at-tiffanys-moon-river-lyrics-henry-mancini.html,0.033048,0.028091,0.104413,0.801164,0.046412
http://www.metrolyrics.com/on-top-of-the-world-lyrics-boys-like-girls.html,0.008457,0.043832,0.398479,0.539599,0.048555
http://www.metrolyrics.com/sex-on-the-dance-floor-lyrics-siiines.html,0.625256,0.178644,0.140863,0.175012,0.203311
http://www.metrolyrics.com/i-saw-her-standing-there-lyrics-beatles.html,0.042442,0.036198,0.176103,0.678217,0.119741
http://www.metrolyrics.com/bartender-lyrics-akon.html,9e-06,0.00238,0.051462,0.024077,0.024703
http://www.metrolyrics.com/wona-lyrics-mumford-sons.html,0.007724,0.091421,0.429907,0.009955,0.129345
http://www.metrolyrics.com/thru-the-ashes-ive-watched-you-burn-lyrics-crowbar.html,0.265225,0.094943,0.37117,0.014656,0.610162
http://www.metrolyrics.com/the-island-lyrics-pendulum.html,0.087963,0.412316,0.471754,0.023675,0.369295
http://www.metrolyrics.com/au-revoir-lyrics-onerepublic.html,0.198481,0.28347,0.231977,0.335038,0.115922
http://www.metrolyrics.com/naked-lyrics-marques-houston.html,9.8e-05,0.009886,0.005729,0.183588,0.028253
http://www.metrolyrics.com/id-sing-about-you-joe-nichols-ml-video-zry.html,0.068352,0.047586,0.043605,0.757889,0.036555
http://www.metrolyrics.com/all-the-heavens-lyrics-hillsong.html,0.066008,0.07962,0.094049,0.790061,0.000475
http://www.metrolyrics.com/closer-than-friends-lyrics-surface.html,0.041923,0.083024,0.204802,0.691179,0.073144
http://www.metrolyrics.com/losin-you-lyrics-june-carter-cash.html,0.078275,0.184943,0.476022,0.312359,0.163807
http://www.metrolyrics.com/show-me-how-you-burlesque-lyrics-christina-aguilera.html,0.086922,0.151086,0.033829,0.750029,0.028356
http://www.metrolyrics.com/rocky-top-lyrics-dolly-parton.html,0.03837,0.352638,0.044172,0.613439,0.018346
http://www.metrolyrics.com/dressed-in-black-lyrics-sia.html,0.016694,0.040769,0.643151,0.015603,0.533826
http://www.metrolyrics.com/rearranged-lyrics-limp-bizkit.html,0.100781,0.539654,0.508328,0.062104,0.089464
http://www.metrolyrics.com/look-at-us-lyrics-vince-gill.html,0.084223,0.051486,0.122198,0.752884,0.016552
http://www.metrolyrics.com/breaking-free-lyrics-vanessa-hudgens.html,0.06582,0.123153,0.051922,0.783539,0.01078
http://www.metrolyrics.com/ugly-girl-barbie-girl-parody-lyrics-weird-al-yankovic.html,0.589748,0.160748,0.566449,0.085787,0.209666
http://www.metrolyrics.com/two-out-of-three-aint-bad-lyrics-meat-loaf.html,0.058212,0.324984,0.727691,0.019531,0.16975
http://www.metrolyrics.com/the-seed-20-lyrics-the-roots.html,0.042752,0.154575,0.637408,0.14554,0.225083
http://www.metrolyrics.com/when-you-gone-lyrics-avril-lavigne.html,0.067139,0.146461,0.764381,0.018263,0.288903
http://www.metrolyrics.com/hello-lyrics-dragonette.html,0.019075,0.139902,0.066384,0.781096,0.027633
http://www.metrolyrics.com/juke-jam-lyrics-chance-the-rapper.html,0.06742,0.28441,0.145844,0.545209,0.074254
http://www.metrolyrics.com/straight-on-lyrics-heart.html,0.01746,0.161208,0.161327,0.679163,0.019132
http://www.metrolyrics.com/sparkle-movie-version-lyrics-radwimps.html,0.051396,0.062016,0.616653,0.660984,0.0721
http://www.metrolyrics.com/i-got-it-bad-and-that-aint-good-lyrics-ellington-duke.html,0.041626,0.293659,0.584083,0.187966,0.105319
http://www.metrolyrics.com/halsey-albums-list.html,0.268766,0.102131,0.081685,0.408568,0.042582
http://www.metrolyrics.com/i-miss-you-lyrics-beyonce-knowles.html,0.003409,0.041844,0.083475,0.818171,0.038692
http://www.metrolyrics.com/jooba-loc-lyrics.html,0.026966,0.016957,0.18615,0.507939,0.029902
http://www.metrolyrics.com/masterpiece-lyrics-atlantic-starr.html,0.003618,0.038288,0.068297,0.887372,0.013149
http://www.metrolyrics.com/trying-to-be-cool-lyrics-phoenix.html,0.055697,0.302529,0.064127,0.616516,0.007319
http://www.metrolyrics.com/durmiendo-en-el-lugar-lyrics-la-adictiva-banda-san-jose-de-mesillas.html,0.041138,0.066782,0.083081,0.686276,0.046156
http://www.metrolyrics.com/time-passes-lyrics-paul-carrack.html,0.041166,0.033576,0.431352,0.06683,0.294269
http://www.metrolyrics.com/aye-aye-aye-lyrics-santana.html,0.023327,0.037078,0.108881,0.747435,0.11383
http://www.metrolyrics.com/apple-of-my-eye-lyrics-rick-ross.html,0.014572,0.411573,0.71305,0.024506,0.071366
http://www.metrolyrics.com/what-can-i-do-lyrics-tye-tribbett.html,0.006019,0.031629,0.41952,0.007301,0.046163
http://www.metrolyrics.com/24-frames-lyrics-jason-isbell.html?ftag=MLY04e0c32,0.008017,0.062695,0.153087,0.699028,0.130578
